# freq, re(lna), im(lna), re(amb), im(amb), re(hot), im(hot), re(open), im(open), re(short), im(short), re(sr_s11), im(sr_s11_, re(sr_s12), im(sr_s12), re(sr_s22_, im(sr_s22)
40.002441 -4.323221e-03 2.263332e-02 -2.393823e-01 -2.367269e-01 -1.313952e-01 -2.844410e-02 -1.191733e+00 -3.556788e-01 5.441351e-01 -2.381919e-01 1.130658e+00 -2.161420e-01 1.040242e-01 -4.682956e-01 -4.813429e-01 1.271080e+00
40.051270 -4.332235e-03 2.265612e-02 -2.368871e-01 -2.341183e-01 -1.297154e-01 -2.838256e-02 -1.194170e+00 -3.323087e-01 5.436821e-01 -2.438305e-01 1.118440e+00 -2.128750e-01 1.126518e-01 -4.652774e-01 -4.789787e-01 1.257239e+00
40.100098 -4.340924e-03 2.267865e-02 -2.343613e-01 -2.314842e-01 -1.280216e-01 -2.831386e-02 -1.196131e+00 -3.090036e-01 5.432452e-01 -2.494373e-01 1.106099e+00 -2.095971e-01 1.213848e-01 -4.622505e-01 -4.765026e-01 1.243260e+00
40.148926 -4.349288e-03 2.270093e-02 -2.318062e-01 -2.288260e-01 -1.263146e-01 -2.823807e-02 -1.197622e+00 -2.857729e-01 5.428247e-01 -2.550184e-01 1.093638e+00 -2.063101e-01 1.302191e-01 -4.592156e-01 -4.739164e-01 1.229150e+00
40.197754 -4.357325e-03 2.272295e-02 -2.292231e-01 -2.261451e-01 -1.245955e-01 -2.815526e-02 -1.198650e+00 -2.626263e-01 5.424211e-01 -2.605797e-01 1.081066e+00 -2.030155e-01 1.391501e-01 -4.561739e-01 -4.712221e-01 1.214916e+00
40.246582 -4.365034e-03 2.274471e-02 -2.266134e-01 -2.234430e-01 -1.228649e-01 -2.806554e-02 -1.199220e+00 -2.395733e-01 5.420340e-01 -2.661270e-01 1.068388e+00 -1.997151e-01 1.481734e-01 -4.531264e-01 -4.684215e-01 1.200564e+00
40.295410 -4.372414e-03 2.276620e-02 -2.239783e-01 -2.207209e-01 -1.211239e-01 -2.796899e-02 -1.199340e+00 -2.166229e-01 5.416632e-01 -2.716661e-01 1.055611e+00 -1.964104e-01 1.572845e-01 -4.500741e-01 -4.655167e-01 1.186104e+00
40.344238 -4.379464e-03 2.278743e-02 -2.213192e-01 -2.179802e-01 -1.193733e-01 -2.786570e-02 -1.199016e+00 -1.937839e-01 5.413079e-01 -2.772029e-01 1.042742e+00 -1.931032e-01 1.664788e-01 -4.470181e-01 -4.625097e-01 1.171541e+00
40.393066 -4.386183e-03 2.280840e-02 -2.186374e-01 -2.152224e-01 -1.176140e-01 -2.775577e-02 -1.198254e+00 -1.710645e-01 5.409670e-01 -2.827432e-01 1.029787e+00 -1.897948e-01 1.757519e-01 -4.439595e-01 -4.594028e-01 1.156884e+00
40.441895 -4.392570e-03 2.282909e-02 -2.159343e-01 -2.124488e-01 -1.158468e-01 -2.763931e-02 -1.197062e+00 -1.484725e-01 5.406392e-01 -2.882926e-01 1.016752e+00 -1.864870e-01 1.850994e-01 -4.408991e-01 -4.561979e-01 1.142139e+00
